"NOMBRE","CODIGO","STOCK","PRECIO","MIN","PROVEEDOR","MARCA"
"Caramelo Malvavisco Brocheta x30u","4252772929732","0","11500.00","0","",""
"Cascarones Los Rusitos","8271772283344","0","4650.00","0","",""
"Cascarones Los Rusitos x1kg","5428857008601","6","8900.00","0","",""
"Cascarones x1kg. Oritas","4945121399698","15","9800.00","0","",""
"Catch Pop x8u.","8749823610959","0","9273.60","0","",""
"Catz Pop x6u","6819816781094","0","11870.00","0","",""
"Celosas x350g.","8056241469234","0","331.62","0","",""
"Cereal azucarado x1kg Los Rusi","8085548982957","0","3400.00","0","",""
"Cereal Fort 24x19g","3168713615794","0","14960.00","0","",""
"Chalitas Pancetas Oritas","4695563681392","0","6000.00","0","",""
"Chicken Chat","9078642986303","0","1231.66","0","",""
"Chicle Alka plegado fruta","7002716802078","0","3000.00","0","",""
"Chicle Bazooka x80u","4974902794142","14","5850.00","0","",""
"Chicle bolas Zed Candy x975g","1274988953003","1","15870.00","0","",""
"Chicle Gallina Coquita x8u","1715769735740","1","18500.00","0","",""
"Chicle globo Sapito","1959924696427","0","1215.00","0","",""
"Chicle Pico Dulce Acido Power x80u","8217984674416","4","4120.00","0","",""
"Chicle Pico Dulce Tutti x80u","2630700540784","2","4120.00","0","",""
"Chicle Redondito granel","8766742737378","0","1081.21","0","",""
"Chicle Rollo Candy Loka 3 gustos","1766566459701","2","14500.00","0","",""
"Chicles Flics","4312125302214","0","1439.86","0","",""
"Chips de mandioca, batata y papas Juli Croc x90g","8717701597501","76","1090.00","0","",""
"Chips Riquito x340g","7144266971883","0","990.00","0","",""
"Chisitos extra queso x65g","6516751607919","83","686.00","0","",""
"Chisitos queso Juli Croc x80g","6948076260767","0","450.00","0","",""
"Chisitos x1kg Los Rusitos","8450851833975","230","4100.00","0","",""
"Choc. Nestle mani 15ux33g","7094165264098","0","8210.00","0","",""
"Choc. Nestle mani x90g","7549845315861","0","1460.00","0","",""
"Choco Pamela x220g","1049018144002","0","770.00","0","",""
"Chocofan Mini torta x15u","7122548816074","0","4572.23","0","",""
"Chocolatada Latte 18x200cc","5715698573793","153","10600.00","0","",""
"Chocolate Arcor Milk 20x12g","1844427018304","0","5490.00","0","",""
"Chocolate Cadbury Tres Sueños 12x25g","4993168752870","2","14500.00","0","",""
"Chocolate con leche Hersheys x82g","6776429025089","0","1800.00","0","",""
"Chocolate Hamlet x45g","2383152786492","248","600.00","0","",""
"Chocolate Kinder x50gx 4u","8002700508665","4","2500.00","0","",""
"Chocolate leche Minions 24ux12","2003750838604","0","2338.69","0","",""
"Chocolate Mecano relleno x45g","8024093433062","69","1640.00","0","",""
"Chocolate Meltz Pistachios x192g","7408833973646","0","23200.00","0","",""
"Chocolate Misky CRUNCH x25g","1460415216284","0","500.00","0","",""
"Chocolate Misky taza x100g","4636151900900","13","2450.00","0","",""
"Chocolate Misky x25g","1418513572248","544","710.00","0","",""
"Chocolate Misky x50g","6253028914894","53","1350.00","0","",""
"Chocolate Shot x35g","4906582310041","0","150.29","0","",""
"Chocolate Taza Bonafide x100g","2323547858550","0","3500.00","0","",""
"Chocolate Toddy tableta blanco cookies x60g","9601847024654","19","2700.00","0","",""
"Chocolate Toddy tableta chocolate x60g","7862445925929","18","2700.00","0","",""
"Chocolate Toddy tableta mousse x60g","6739178897378","18","2700.00","0","",""
"Chocolate Tokke blanco relleno x72g","4355414462277","101","2200.00","0","",""
"Chocolate Tokke comun x65g","6901032305247","0","296.70","0","",""
"Chocolate Tokke leche y mani x62g","4383842183414","30","1990.00","0","",""
"Chocolate Tokke relleno Dulce de leche x72g","5881453485656","6","1990.00","0","",""
"Chocolate Vizzio x35g","7100793409755","0","109.96","0","",""
"Chocolate Vizzio x85g","5044120426233","0","274.91","0","",""
"Chocolatin Georgalos 40ux8g","4863550610808","0","14670.00","0","",""
"Chocolatin Jack Emoji 20x14g","5024062183019","0","7330.25","0","",""
"Chocolatin Misky x8g.","7812644313821","12","6500.00","0","",""
"ChocoLia x170g","9503765844815","30","900.00","0","",""
"Chocolina choc blanco x245g","1174475707854","33","1630.00","0","",""
"Chup masticable pinta lengua","1715122921481","0","1178.08","0","",""
"Chupelatin FelFort 32x15g","5298059407990","0","4370.65","0","",""
"Chupete Trompito colgante x10u","8253724004634","0","3150.00","0","",""
"Chupetin Bob Esponja x30u","9022253140181","4","19000.00","0","",""
"Chupetin Bola Loca relleno chicle x24u","4530260778491","86","3160.00","0","",""
"Chupetin Doblete Marengo x50u","7424353846413","0","1650.00","0","",""
"Chupetin Florestal Baby corazo","6827615864871","0","610.86","0","",""
"Chupetin Florestal pir/princes","9655761099088","0","698.11","0","",""
"Chupetin frutal Mr Pops x50u","6989085227077","0","5380.00","0","",""
"Chupetin masticable Baby Doll","1640061350811","0","3650.00","0","",""
"Chupetin masticable Fierita Super Tattoo","9576140118484","6","6383.00","0","",""
"Chupetin Masticable Nitro x50u","9741097230558","28","4700.00","0","",""
"Chupetin Mr Pops c chicle x24u","9741472075711","0","4480.00","0","",""
"Chupetin Mr Pops Yogus x50u","6959774941556","0","5600.00","0","",""
"Chupetin Paysandu Conejo x30u","3241109067252","6","15300.00","0","",""
"Chupetin Peccin Blong chicle","4051381430613","0","760.52","0","",""
"Chupetin Pelotitas Lheritier x50u","2312749342542","266","2300.00","0","",""
"Chupetin Topolin sorpresa x10u","6016344487793","0","714.71","0","",""
"Chupetin Trompito Arcor x50u","8848174944353","0","5500.00","0","",""
"Chupeton con aro Manduvi x15u","1477232681227","2","2100.00","0","",""
"Chupetoncito Lheritier","5258057458159","0","4014.17","0","",""
"Cigarrera madera","9785202291581","1","25000.00","0","",""
"Cigarritos Temflor x1kg","5439085478876","0","4275.98","0","",""
"Cintitas Tostex bañadas crema cookies x88gx2u","2855532486155","0","660.00","0","",""
"Cintitas Tostex salame x125g","6977451552351","0","930.00","0","",""
"Clight Anana x20u","2650799085954","0","5300.00","0","",""
"Clight Limonada x20u","5291067551468","24","5300.00","0","",""
"Clight Mandarina x20u","1687536972610","0","5300.00","0","",""
"Clight Manzana deliciosa x20u","4858536556505","23","5300.00","0","",""
"Clight Naranja Dulce x20u","4754884384307","0","5300.00","0","",""
"Clight Naranja Durazno x20u","8565630136432","0","5010.00","0","",""
"Clight Naranja Mango x20u","9714972556127","0","5010.00","0","",""
"Clight Naranja VIT C x20u","9182575326964","10","5300.00","0","",""
"Clight Pomelo amarillo x20u","2141925273244","12","5300.00","0","",""
"Clight Pomelo Rosado x20u","4290757458355","0","5300.00","0","",""
"Clix Mini8 x100u","1846074763264","0","1535.86","0","",""
"Club Social x145g","8635612050722","0","2800.00","0","",""
"Coco Pop x8u","7394710564997","0","10360.36","0","",""
"Cofler aireado x55g","4671624930152","0","733.02","0","",""
"Cofler Block x110g","6746634838519","0","3330.00","0","",""
"Cofler Block x38g","6872948823762","0","1290.00","0","",""
"Conejito FelFort blanco x38g","9959184482490","0","2060.00","0","",""
"Conejito FelFort x38g","6921389667372","0","2060.00","0","",""
"Conejo Bonobon","6105560454390","0","8759.65","0","",""
"Conejo Magico x30u","2585605342774","1","13500.00","0","",""
"Conejo Pascuas Ferrero Rocher","9927036326435","0","1768.43","0","",""
"Conejo Plano Bonafide x60g","6624833727122","0","523.58","0","",""
"Conejo Rocklets x55g","7687692720914","0","8191.55","0","",""
"Conejos Bonafide bolsa x50u","7776768720307","0","3720.00","0","",""
"Confite chocolate Corazonito surtido x500g","2290797167351","7","7500.00","0","",""
"Confite Color Latin x60g","2773384659270","0","570.00","0","",""
"Confite palmesano","8910760475799","0","0.00","0","",""
"Conitos Los Rusitos x1kg","6027007751516","0","8900.00","0","",""
"Conitos x1kg Oritas","9641137438206","2","10800.00","0","",""
"Conix x70g. Juli Croc","8301022337901","114","1109.00","0","",""
"Cookies Bauducco x12x40g","7531785297680","0","934.61","0","",""
"Cool Mint x30u","9173409551678","0","8700.00","0","",""
"Copitos dulce de leche Riquito x24u","3140765917841","0","12000.00","0","",""
"Copitos Turimar","7453187358962","0","5700.00","0","",""
"Corazonito surtido 12ux30g","2844031256377","7","6000.00","0","",""
"Crazy Pop tira x20u","7577860885418","0","8600.00","0","",""
"Creepy Pop x8u","6674356624667","0","7900.00","0","",""
"Cubanito Chocostar x40u","5643892422379","0","3050.00","0","",""
"Cubanito FelFort Winning 25ux20g","1925726277197","0","24000.00","0","",""
